geslacht,gebjaar,aantalhh,burgstat,nettoink,oplcat
1,1952,3,1,-14,2
1,1991,5,5,0,1
2,1975,4,1,180,3
1,1942,2,1,2500,2
1,1941,2,1,1650,2
1,1975,3,5,1750,6
2,1952,3,1,-13,1
2,1985,3,5,0,2
1,2002,3,5,0,NA
1,2008,4,5,0,NA
1,1990,4,5,0,1
2,1950,4,1,250,2
2,1958,1,3,840,5
2,1930,2,1,875,2
1,1992,5,5,0,1
1,1958,3,1,1650,2
1,1955,1,4,1250,1
1,1969,7,1,1900,4
2,1958,5,1,1037,4
2,1939,2,1,750,2
1,1958,5,1,4100,6
2,2003,4,5,0,1
1,1971,4,1,1350,2
1,1973,2,1,1300,1
1,1942,2,1,1817,2
2,1958,2,1,-13,4
2,1996,4,5,0,1
1,2001,7,5,0,1
1,1955,4,1,2600,5
1,1970,2,5,1750,4
2,1967,4,1,2250,3
1,2002,5,5,0,1
2,1979,4,1,-14,6
1,1959,4,1,2600,3
2,1984,4,5,1200,4
1,1934,2,1,2830,5
1,1957,4,1,2250,5
2,1971,5,1,1215,6
1,1952,2,1,2400,5
1,1980,3,5,1200,4
1,1960,4,5,175,5
1,1990,2,5,300,2
2,1943,1,3,838,1
2,1995,4,5,0,1
1,1955,2,1,980,5
1,1964,4,1,2150,2
1,1960,2,1,2750,3
1,1995,4,5,0,1
1,1962,4,1,1750,4
2,2004,4,5,0,NA
2,1958,3,1,250,3
1,1991,4,5,0,1
1,1971,1,5,750,4
1,1994,9,5,0,1
2,1994,3,5,0,1
2,1943,2,1,0,3
1,1952,4,1,1462,1
2,1945,1,3,773,6
2,1965,4,1,3800,6
2,1989,7,5,750,3
1,1991,4,5,0,1
1,1966,1,1,1999,4
2,1955,2,5,2750,6
1,1999,6,5,0,1
2,1961,2,1,1100,2
1,1964,6,3,2217,4
2,1953,2,1,850,2
2,1989,4,5,0,3
2,1964,4,1,1200,3
2,1964,3,5,-13,1
1,1955,3,1,1750,1
2,1951,1,3,2250,2
2,1950,1,3,2100,5
1,1959,5,1,2300,5
2,1960,2,5,1428,1
2,1951,2,1,470,4
2,1969,2,5,1560,4
1,1940,2,1,1854,3
1,1969,5,1,-14,4
1,1952,2,1,1250,4
1,1956,2,5,1800,5
1,1997,5,5,0,1
2,1941,1,4,1160,2
1,1993,4,5,0,1
1,1959,4,1,2500,4
1,1996,4,5,0,1
2,1995,4,5,0,1
2,1962,4,1,1550,6
1,1960,4,1,1600,4
2,1971,4,1,1100,5
2,1973,4,5,0,2
1,2002,4,5,0,1
2,1934,2,1,639,2
2,1999,5,5,0,1
2,1977,6,3,1750,4
2,1949,2,1,0,1
1,1996,4,5,0,1
1,2007,3,5,170,NA
2,1953,1,3,3000,2
1,1986,4,5,-14,3
1,1976,2,1,2000,5
1,1957,4,1,-13,4
1,1977,3,5,1700,6
1,1955,4,1,-13,2
1,1940,1,1,1870,2
2,1948,1,3,580,2
2,1977,2,1,1800,6
1,1971,5,1,2200,5
2,1978,3,1,1580,5
2,1954,2,1,635,2
1,1992,4,5,0,1
1,1961,4,1,1750,2
1,1963,2,1,-14,2
2,1945,1,3,2750,6
1,2002,3,5,0,1
2,1985,4,5,750,5
1,1950,1,3,1150,4
2,1994,4,5,60,1
1,1961,2,1,1850,2
1,1978,1,5,1400,4
1,1947,3,1,1480,4
1,1972,4,1,2140,4
1,1968,3,1,1400,2
2,1963,2,5,2000,4
2,1963,4,1,1200,3
2,1976,3,1,1235,5
1,1985,3,5,1250,2
2,1944,2,1,0,4
1,1986,2,5,950,4
1,1960,2,1,-14,5
2,1967,4,1,1250,5
2,1991,5,5,150,2
2,1953,3,1,600,2
2,1940,2,1,750,2
1,1967,1,5,2421,6
2,1951,2,1,0,1
2,1995,4,5,0,1
1,1980,2,1,1000,1
2,1950,2,1,800,2
2,1961,4,5,1400,4
1,1965,4,1,-13,6
1,1969,4,1,-14,3
2,2005,3,5,0,NA
2,1978,2,5,1730,5
2,1971,1,5,1438,6
1,1957,3,1,-14,5
2,1966,4,1,750,2
2,1992,4,5,250,1
1,1957,4,5,2100,6
2,1991,4,5,180,1
2,1942,1,3,915,5
1,1988,3,5,0,2
2,1956,4,1,1200,3
2,1972,4,1,870,2
1,1969,4,1,2500,5
2,1963,3,1,525,2
1,1989,4,5,50,1
1,1970,4,5,1465,4
2,1983,4,1,0,4
2,1970,2,1,2250,5
1,2008,4,5,0,NA
1,1964,4,5,2000,5
1,1992,5,5,90,1
1,1937,2,1,1250,4
2,1960,4,1,1750,5
1,1969,4,1,2750,6
2,1966,4,1,1301,5
1,1963,4,1,3000,3
2,2001,5,5,0,1
2,1974,2,5,1830,5
1,1993,3,5,0,1
1,2001,4,5,0,1
2,1969,5,1,2000,6
1,1951,4,3,1900,5
1,1963,1,5,2400,6
1,1947,3,1,3200,2
1,1947,3,1,2400,4
1,2001,4,5,0,1
1,1943,1,1,1800,4
2,1938,2,1,1000,5
1,2006,5,5,0,NA
1,1933,2,1,630,1
2,1998,4,5,0,1
2,1983,3,5,-14,5
1,1970,4,1,2000,2
1,1992,4,5,0,1
1,1977,3,5,750,1
2,1981,2,1,1700,4
2,1959,3,1,-13,2
2,1983,2,1,1300,4
1,1950,2,4,500,6
1,1989,3,5,250,3
1,1950,2,1,3500,5
2,1969,5,1,-13,1
1,1951,2,1,2131,4
2,1970,5,1,899,5
1,1967,5,1,-13,1
1,1949,2,1,-13,2
1,1922,1,4,1320,4
2,1987,4,5,200,3
1,1978,3,1,1850,6
1,1973,4,1,1580,5
1,1987,6,5,2000,2
1,1952,3,1,850,3
1,1998,4,5,0,1
1,1996,6,5,0,1
2,1962,3,1,850,3
2,1958,4,1,2500,6
2,1967,5,1,1300,5
1,2001,4,5,0,1
2,2004,4,5,0,NA
2,1983,3,5,711,2
2,1974,3,5,1100,4
2,2000,6,5,0,1
2,1933,1,4,2000,2
2,2004,7,5,0,NA
1,1992,5,5,61,1
1,1990,6,5,0,2
1,1994,8,5,0,1
1,1936,2,1,1250,2
2,1999,4,5,0,1
1,1969,5,1,2850,5
1,1934,2,4,2200,3
2,1995,4,5,0,1
1,1966,3,1,1600,1
1,1994,4,5,0,1
2,1960,4,1,900,1
2,1929,2,1,1250,5
2,1989,5,5,120,3
1,1989,5,5,0,3
2,1947,1,4,983,2
2,1968,2,1,800,2
1,1980,3,1,1600,4
2,2005,4,5,0,NA
1,1983,2,5,1640,4
1,1954,1,3,3400,6
1,1964,5,1,2250,4
2,1980,5,1,0,4
1,1960,3,1,2500,2
2,1978,3,1,0,2
2,1984,4,5,1250,4
1,1962,2,5,2000,5
2,2001,4,5,-13,1
1,1999,4,5,0,1
1,1977,2,5,1904,5
1,1952,2,1,3000,4
1,1945,2,1,2150,4
1,1954,1,3,788,2
1,1963,4,1,2700,6
1,1995,4,5,0,1
1,1962,4,1,1800,4
2,1969,3,1,1200,2
1,1921,2,1,1250,5
2,1977,4,5,-13,6
2,1966,4,1,1000,4
2,1948,1,4,1100,5
2,1981,4,1,1000,5
1,1976,1,5,1550,4
2,1973,5,1,0,2
1,1965,4,1,2750,6
1,1943,2,1,2250,2
2,1972,5,1,0,2
2,1981,2,5,1250,4
1,1951,2,1,1225,2
1,1964,4,1,1950,5
2,1949,2,1,1000,2
2,1962,4,1,1343,6
1,1992,4,5,0,1
1,1937,2,1,1748,2
1,2001,5,5,0,1
1,1938,2,4,1200,2
1,1959,4,1,1676,2
2,1963,3,1,0,3
2,1945,2,1,0,1
2,1960,2,1,0,6
1,1994,3,5,0,1
1,1960,3,1,2250,2
2,1985,4,5,-13,4
1,1981,1,5,3250,6
2,1970,1,5,1792,4
2,2007,4,5,0,NA
2,1962,6,1,800,5
2,1979,2,5,700,2
1,1964,3,1,-14,6
1,1988,1,5,1000,3
2,1940,3,1,630,2
1,1981,3,5,1350,4
1,1954,2,1,3000,6
2,1961,4,1,1220,4
2,1967,1,5,2392,5
2,1951,5,3,2100,2
2,2002,5,5,0,1
1,2007,4,5,0,NA
2,2000,6,5,0,1
1,1965,4,1,2850,5
1,1931,2,1,850,2
2,1938,2,1,639,2
2,1944,2,1,250,3
1,1932,2,1,2076,5
2,1998,4,5,0,1
2,1970,4,1,800,5
2,1962,4,1,0,2
1,1955,2,4,5000,4
2,1959,4,1,1250,2
1,1966,3,1,2836,5
2,1976,2,5,1400,5
1,1961,4,1,2006,2
1,1935,2,1,1050,2
2,1934,2,1,640,4
2,1940,2,1,639,2
1,1964,4,1,2500,4
2,1999,4,5,0,1
2,1947,2,1,489,1
2,1946,1,3,-14,4
1,1938,1,3,1200,5
1,1959,4,5,1950,5
1,1966,3,5,2050,5
1,2007,3,5,0,NA
2,1937,2,1,639,2
2,1942,2,1,0,1
1,2007,4,5,0,NA
2,1991,4,5,0,1
2,1965,4,3,1100,2
2,1993,4,5,0,1
2,1945,2,1,750,1
1,1999,4,5,0,1
2,1964,4,1,650,2
1,1981,1,5,1510,6
2,1954,2,1,2400,3
2,2003,4,5,0,1
2,1999,4,5,0,1
2,1964,3,1,650,3
1,1994,3,5,0,1
1,1971,2,1,1700,4
1,1992,4,5,0,1
2,1987,1,5,750,3
2,1977,3,1,1000,5
1,1951,2,3,1905,2
2,2006,3,5,0,NA
2,1996,5,5,0,1
1,1992,5,5,250,1
1,1966,2,1,1750,2
2,1980,2,5,1250,4
2,1999,5,5,0,1
1,1988,2,5,-13,2
2,1977,2,5,1750,6
2,1982,3,5,0,5
2,1989,4,5,-14,2
2,1935,2,1,630,1
2,1991,4,5,0,1
2,1996,4,5,0,1
1,1943,2,1,4000,5
1,1991,4,5,120,1
2,1973,3,1,1631,2
1,1960,2,5,1750,1
1,1949,4,1,2629,6
2,1955,3,1,1434,3
1,1946,3,1,1470,2
1,2006,4,5,0,NA
1,1970,4,1,1650,2
1,1990,4,5,1000,2
1,1950,2,1,2860,5
1,2003,4,5,0,NA
2,1950,2,1,908,3
1,2004,4,5,0,NA
2,1957,3,1,910,2
2,1979,4,1,1250,4
2,2005,4,5,0,NA
1,2002,5,5,0,1
