dataset,age,bfi_O_imag,bfi_O_arti,bfi_C_lazy,bfi_C_thor,bfi_E_rese,bfi_E_soci,bfi_A_faul,bfi_A_trus,bfi_N_rela,bfi_N_nerv
shp,44,6,4,9,8,2,3,6,8,2,2
shp,41,8,10,10,9,10,7,10,0,4,6
shp,18,1,0,1,2,5,4,1,2,8,9
shp,16,7,5,9,8,10,7,10,0,2,2
shp,48,10,5,8,9,5,7,6,5,6,3
shp,48,4,4,2,9,4,9,2,8,3,3
shp,50,10,10,7,10,8,10,10,5,-0,0
shp,87,6,0,-0,10,3,10,10,10,-0,6
shp,41,8,7,5,10,7,7,7,5,5,7
shp,41,8,1,6,9,6,8,3,8,2,3
shp,38,8,2,6,8,6,9,2,7,2,4
shp,28,4,2,5,9,8,8,4,9,5,2
shp,83,7,4,2,8,3,8,2,9,1,9
shp,44,6,3,4,8,3,5,6,7,4,7
shp,45,7,4,7,8,5,7,7,7,2,3
shp,41,7,10,6,10,10,10,5,9,3,2
shp,36,4,7,5,8,5,5,7,6,6,2
shp,43,6,8,3,6,3,6,7,4,2,4
shp,42,8,8,6,8,5,9,8,8,1,6
shp,46,7,7,4,7,10,7,6,7,7,1
shp,37,10,10,2,8,1,4,5,7,5,9
shp,60,5,8,10,9,2,4,8,8,5,7
shp,83,5,10,10,8,5,5,10,7,5,0
shp,45,8,10,4,10,3,10,7,8,1,3
shp,39,3,5,5,10,2,7,7,5,4,8
shp,49,8,8,8,8,5,8,8,5,2,2
shp,43,8,3,3,8,5,10,5,8,10,5
shp,23,5,7,7,8,10,4,6,8,6,2
shp,16,0,5,10,5,5,10,-0,5,-0,5
shp,45,8,9,-0,10,2,2,5,10,8,10
shp,75,8,8,2,10,4,6,6,8,1,2
shp,66,10,10,10,9,-0,8,10,9,1,0
shp,80,10,6,4,6,-0,10,10,10,-0,10
shp,50,4,9,5,6,2,8,7,7,7,2
shp,29,10,9,10,6,6,8,6,7,3,4
shp,86,5,4,4,9,3,6,2,9,2,0
shp,81,7,0,10,5,1,10,5,10,-0,5
shp,51,5,3,9,10,4,3,6,8,-0,9
shp,49,4,7,7,7,10,8,7,5,3,8
shp,35,6,3,8,8,3,7,6,4,5,4
shp,43,7,7,2,10,8,5,2,3,4,7
shp,39,5,7,7,8,6,7,7,6,5,3
shp,39,6,2,10,7,2,8,5,8,2,8
shp,88,7,5,5,9,-0,9,10,10,-0,0
shp,55,6,4,8,8,-0,6,8,10,2,6
shp,52,8,8,10,10,2,6,10,4,-0,6
shp,21,10,10,5,10,10,10,10,5,5,5
shp,64,6,6,5,8,3,8,8,8,3,3
shp,69,8,8,8,8,2,8,8,8,2,7
shp,45,5,5,7,10,5,5,5,4,6,7
shp,45,8,7,6,7,6,9,9,8,4,3
shp,44,9,6,4,6,2,8,9,8,4,6
shp,45,6,5,10,8,3,6,6,7,3,5
shp,44,7,5,2,7,5,6,7,6,5,4
shp,15,5,6,4,7,5,6,3,6,7,7
shp,50,8,8,3,6,4,7,5,6,7,3
shp,45,5,3,10,10,5,9,6,8,4,6
shp,21,6,6,6,8,7,8,6,6,2,3
shp,18,10,5,5,10,10,8,9,10,-0,0
shp,46,6,8,6,8,3,7,4,6,4,7
shp,30,5,7,7,9,6,6,7,7,4,3
shp,31,5,7,7,9,3,6,5,9,2,2
shp,32,6,8,9,9,3,4,8,8,1,1
shp,39,6,3,3,8,7,7,5,7,3,3
shp,36,5,8,7,7,4,6,5,6,2,3
shp,67,7,9,2,8,10,10,8,9,6,3
shp,61,8,5,7,9,3,7,6,7,2,2
shp,60,8,5,10,9,8,9,3,5,-0,2
shp,48,8,8,8,10,4,8,4,6,-0,2
shp,51,7,5,10,10,-0,5,7,8,1,7
shp,23,6,7,6,6,4,6,3,8,2,7
shp,22,3,5,6,7,2,2,6,3,4,6
shp,16,10,7,-0,5,10,10,-0,10,5,7
shp,60,5,4,8,8,8,8,8,8,2,2
shp,62,7,7,7,7,5,5,7,6,5,3
shp,49,7,5,4,8,5,7,7,7,3,3
shp,51,7,7,8,10,8,2,5,4,5,2
shp,22,7,10,4,5,7,6,3,6,4,6
shp,20,5,8,8,7,3,5,9,7,5,3
shp,77,6,10,8,7,3,7,2,7,4,3
shp,72,7,10,5,9,5,8,4,8,3,3
shp,79,8,5,8,10,5,10,5,10,-0,8
shp,75,10,3,10,10,5,10,10,6,-0,0
shp,23,6,9,5,8,10,8,6,4,3,4
shp,48,0,0,6,10,-0,7,10,6,-0,3
shp,66,5,8,4,8,2,7,6,8,5,8
shp,62,5,8,5,8,8,6,7,5,4,5
shp,62,5,8,3,8,6,7,6,7,3,3
shp,35,9,10,6,8,8,10,8,10,2,1
shp,34,5,8,7,7,5,5,7,5,4,3
shp,67,8,10,2,8,-0,6,10,5,5,10
shp,65,5,5,6,7,5,5,8,7,3,2
shp,48,7,9,9,8,6,5,6,8,1,3
shp,21,8,10,2,8,7,7,7,8,2,2
shp,19,4,10,-0,8,5,7,2,7,2,2
shp,33,8,7,7,8,2,3,6,6,2,3
shp,32,8,10,5,8,10,9,4,8,2,3
shp,59,7,9,6,8,5,5,7,4,4,8
shp,53,8,5,2,10,2,8,5,8,2,8
shp,42,10,0,10,10,5,10,10,10,5,5
shp,16,9,10,6,7,6,9,7,9,2,1
shp,58,7,4,9,10,1,9,2,7,4,8
shp,68,4,6,10,8,2,8,8,8,4,5
shp,64,8,2,4,8,2,6,2,8,4,5
shp,28,3,3,8,8,2,6,8,8,1,2
shp,58,6,6,10,5,6,8,6,4,6,5
shp,75,3,5,7,10,4,5,7,7,2,3
shp,48,10,0,8,8,5,5,8,8,2,2
shp,18,6,1,4,9,2,8,9,5,8,6
shp,14,8,7,3,7,5,10,6,4,4,6
shp,67,8,9,5,9,2,4,7,8,4,6
shp,42,10,10,9,10,2,8,7,9,2,5
shp,20,8,8,2,4,4,7,6,7,4,1
shp,17,9,9,8,8,7,8,9,9,1,2
shp,45,8,4,6,9,2,8,2,8,1,4
shp,54,7,5,5,8,5,8,5,8,1,3
shp,51,7,7,4,8,3,7,6,7,5,7
shp,44,5,2,3,9,3,7,8,9,6,7
shp,48,8,7,8,10,1,3,6,8,1,4
shp,40,10,5,10,10,10,10,5,10,10,5
shp,36,8,0,7,8,5,7,5,5,4,6
shp,37,8,5,8,8,8,8,5,8,3,2
shp,63,5,5,10,10,5,8,6,8,2,6
shp,55,6,4,5,7,5,8,6,5,4,4
shp,29,7,10,5,7,4,5,6,7,4,7
shp,80,10,2,10,10,-0,6,10,8,2,10
shp,28,7,8,8,8,6,7,3,5,5,2
shp,29,8,8,8,10,10,7,5,10,4,6
shp,52,8,6,5,8,3,6,7,7,2,4
shp,52,8,8,8,8,10,8,8,8,4,2
shp,63,6,6,10,9,10,8,8,6,2,2
shp,64,10,10,10,8,10,5,10,10,-0,0
shp,85,6,10,7,10,8,7,3,10,5,4
shp,39,6,8,3,7,5,8,4,7,2,4
shp,57,10,10,10,10,-0,10,10,2,8,0
shp,30,4,6,5,7,5,6,7,5,4,4
shp,64,8,4,7,10,2,7,3,8,4,2
shp,64,9,10,5,9,2,6,5,8,2,5
shp,70,8,9,7,9,5,6,7,9,3,5
shp,46,5,10,5,9,3,6,5,7,4,5
shp,57,6,2,7,9,5,2,5,7,5,5
shp,24,10,6,5,5,-0,4,7,7,5,8
shp,50,8,3,10,8,10,9,10,7,4,6
shp,74,9,10,7,5,5,8,5,5,4,5
shp,62,8,8,7,8,4,6,7,5,2,5
shp,65,10,4,3,7,-0,8,2,8,2,7
shp,53,8,4,8,8,10,8,8,8,2,5
shp,62,6,8,8,10,2,8,8,8,4,2
shp,45,7,10,4,8,5,6,4,5,5,5
shp,34,4,4,6,8,4,4,7,8,2,4
shp,31,5,6,6,8,4,7,6,6,3,4
shp,41,4,6,2,8,10,8,6,8,5,4
shp,54,10,10,8,10,10,6,5,7,5,5
shp,46,5,10,5,8,6,5,7,5,5,4
shp,43,7,10,5,8,1,8,3,7,4,7
shp,52,5,2,8,8,2,3,7,8,1,2
shp,47,6,3,8,8,3,4,7,7,2,3
shp,42,9,5,9,9,10,9,9,7,5,5
shp,78,8,0,5,5,1,8,10,10,-0,8
shp,70,7,4,5,10,5,10,10,10,-0,0
shp,78,7,3,7,8,4,6,4,5,7,7
shp,50,6,2,7,9,4,8,6,8,2,3
shp,49,7,10,9,7,7,8,7,8,2,5
shp,19,8,7,7,8,6,6,6,7,5,4
shp,18,8,7,5,6,8,9,6,5,2,2
shp,16,4,5,6,7,8,9,8,5,4,7
shp,16,8,5,6,9,5,10,8,8,3,4
shp,16,5,2,8,8,7,8,7,5,2,3
