age,dataset,bfis_O_newidea,bfis_O_apprart,bfis_O_highima,bfis_C_worktho,bfis_C_taskeff,bfis_C_ratlazy,bfis_E_talkati,bfis_E_sociabl,bfis_E_reserve,bfis_A_harshwo,bfis_A_ablefor,bfis_A_conside,bfis_N_worries,bfis_N_nervous,bfis_N_relaxed
49,sels,6,5,8,8,4,9,8,8,7,9,9,9,6,4,6
37,sels,8,5,6,8,6,8,4,6,3,3,8,5,6,3,3
57,sels,6,5,7,10,10,10,3,9,1,0,9,9,9,6,6
68,sels,5,6,8,10,8,10,8,10,6,10,10,10,5,0,2
35,sels,8,6,6,10,9,10,10,8,8,5,6,8,2,3,4
43,sels,9,9,10,9,10,10,9,9,5,10,10,10,9,5,3
24,sels,7,10,7,9,8,5,6,7,2,7,8,10,7,8,6
53,sels,9,4,10,10,8,8,8,9,2,7,8,10,7,6,2
40,sels,8,2,6,7,6,6,6,7,3,2,8,8,6,7,3
61,sels,7,9,9,9,9,6,7,7,0,8,0,10,0,1,2
52,sels,6,9,6,9,9,10,9,8,8,6,9,9,3,4,3
77,sels,8,8,8,8,8,7,9,8,5,6,4,8,8,5,4
41,sels,4,6,1,10,9,9,8,8,3,8,7,10,9,2,6
73,sels,5,5,7,9,9,10,7,9,1,10,9,9,5,0,2
65,sels,8,0,5,8,7,10,10,10,5,0,10,5,10,10,0
52,sels,4,4,4,8,6,6,4,8,3,10,8,7,8,0,4
63,sels,0,4,6,3,6,5,3,7,4,10,5,8,2,1,2
29,sels,6,3,5,10,10,10,7,6,4,8,8,9,8,5,5
21,sels,7,7,5,9,7,8,8,7,2,8,9,9,7,5,3
41,sels,5,3,2,10,10,10,9,9,9,4,8,6,8,5,5
19,sels,8,10,9,8,9,4,6,7,4,8,10,9,1,3,2
46,sels,4,2,6,8,7,8,5,5,4,7,5,7,8,8,7
42,sels,5,8,6,9,9,7,9,7,1,8,9,10,4,7,2
67,sels,6,10,7,6,8,5,7,7,6,5,1,5,4,5,5
29,sels,6,4,6,8,6,6,7,6,4,7,6,8,4,3,4
69,sels,7,8,7,8,7,6,7,7,5,5,8,6,5,4,2
82,sels,8,5,7,8,8,4,5,7,5,5,7,7,4,5,3
73,sels,6,8,9,10,9,10,7,6,8,10,8,9,0,0,1
45,sels,9,9,8,8,8,8,7,7,4,8,6,7,3,3,5
70,sels,9,7,5,8,9,6,9,8,6,3,3,4,4,5,6
49,sels,8,7,8,9,9,1,9,8,9,3,7,8,5,1,4
21,sels,8,7,9,7,7,1,9,10,8,7,9,9,5,3,3
62,sels,5,9,7,8,7,8,6,6,3,8,8,7,5,3,5
67,sels,7,7,7,8,9,9,8,9,2,8,8,8,9,2,3
58,sels,9,9,10,9,9,8,7,7,1,3,5,6,2,1,3
49,sels,8,10,10,9,9,6,5,5,0,10,10,10,2,3,1
47,sels,6,0,8,8,6,2,7,10,2,1,10,9,6,2,2
