outcome,trait,dataset,est,se,mod,Data,name,est_abs,pval,pval_text
ideology,Openness,anes1012,0.1317412779545948,0.08221000561335086,under30,ANES 2010-12,Left-right ideology,0.1317412779545948,0.10904577569376205,p =  0.11
stfdem,Conscientiousness,anes1012,NA,NA,under30,ANES 2010-12,Sat. democracy,NA,NA,p =  NA
polintr,Extraversion,anes1012,-0.24258852377648688,0.0764974750983559,under30,ANES 2010-12,Interest,0.24258852377648688,0.0015181242297688203,p < 0.01
poleff,Agreeableness,anes1012,-0.050446037473411635,0.08078725265608315,under30,ANES 2010-12,Efficacy,0.050446037473411635,0.5323447950802473,p =  0.53
involvement,Neuroticism,anes1012,3.7692840626395467e-4,0.08288153162266786,under30,ANES 2010-12,Involvement,3.7692840626395467e-4,0.9963713952516451,p =  1
polpar,Openness,anes1012,0.09306053610779286,0.08488887018467223,under30,ANES 2010-12,Participation,0.09306053610779286,0.2729636520426461,p =  0.27
media,Conscientiousness,anes1012,-0.08022451894171749,0.06916518409237694,under30,ANES 2010-12,Media use,0.08022451894171749,0.2460905711792183,p =  0.25
poltr,Extraversion,anes1012,NA,NA,under30,ANES 2010-12,Political trust,NA,NA,p =  NA
knowledge,Agreeableness,anes1012,0.1698776643128587,0.08162332799171061,under30,ANES 2010-12,Knowledge,0.1698776643128587,0.03741202337287438,p =  0.04
ideology,Neuroticism,anes1012,-0.03947745167120801,0.08178207766876695,under30,ANES 2010-12,Left-right ideology,0.03947745167120801,0.629297971805981,p =  0.63
stfdem,Openness,anes1012,NA,NA,under30,ANES 2010-12,Sat. democracy,NA,NA,p =  NA
polintr,Conscientiousness,anes1012,0.006526198846849669,0.07108085023666336,under30,ANES 2010-12,Interest,0.006526198846849669,0.9268460256205753,p =  0.93
poleff,Extraversion,anes1012,-0.02514435682888089,0.07835916245865866,under30,ANES 2010-12,Efficacy,0.02514435682888089,0.7482967970580959,p =  0.75
involvement,Agreeableness,anes1012,-0.08547482058765711,0.0829917312437945,under30,ANES 2010-12,Involvement,0.08547482058765711,0.30304769287437944,p =  0.3
polpar,Neuroticism,anes1012,0.1356843255735006,0.08384733289813236,under30,ANES 2010-12,Participation,0.1356843255735006,0.10561289582577202,p =  0.11
media,Openness,anes1012,-0.033144866349025054,0.07833827345258759,under30,ANES 2010-12,Media use,0.033144866349025054,0.6722228346150652,p =  0.67
poltr,Conscientiousness,anes1012,NA,NA,under30,ANES 2010-12,Political trust,NA,NA,p =  NA
knowledge,Extraversion,anes1012,-0.17472012888547808,0.07872722705301045,under30,ANES 2010-12,Knowledge,0.17472012888547808,0.026465636043751274,p =  0.03
ideology,Agreeableness,anes1012,-0.1178852124188289,0.08187614613726085,under30,ANES 2010-12,Left-right ideology,0.1178852124188289,0.14992420823294267,p =  0.15
stfdem,Neuroticism,anes1012,NA,NA,under30,ANES 2010-12,Sat. democracy,NA,NA,p =  NA
polintr,Openness,anes1012,-0.08740577043818175,0.0804314438833231,under30,ANES 2010-12,Interest,0.08740577043818175,0.27716435528841843,p =  0.28
poleff,Conscientiousness,anes1012,0.00509343343119704,0.07282314226270314,under30,ANES 2010-12,Efficacy,0.00509343343119704,0.9442394170469911,p =  0.94
involvement,Extraversion,anes1012,-0.1410597310224031,0.08015593451849502,under30,ANES 2010-12,Involvement,0.1410597310224031,0.07843893534969264,p =  0.08
polpar,Agreeableness,anes1012,0.06810300530327235,0.08576756250956048,under30,ANES 2010-12,Participation,0.06810300530327235,0.42717126315431647,p =  0.43
media,Neuroticism,anes1012,0.10185204936213073,0.07682794512783257,under30,ANES 2010-12,Media use,0.10185204936213073,0.18493372844477035,p =  0.18
poltr,Openness,anes1012,NA,NA,under30,ANES 2010-12,Political trust,NA,NA,p =  NA
knowledge,Conscientiousness,anes1012,0.038693194672356254,0.0736566648453825,under30,ANES 2010-12,Knowledge,0.038693194672356254,0.5993619312023901,p =  0.6
ideology,Extraversion,anes1012,0.05110779045713235,0.07918341777261004,under30,ANES 2010-12,Left-right ideology,0.05110779045713235,0.5186449909971793,p =  0.52
stfdem,Agreeableness,anes1012,NA,NA,under30,ANES 2010-12,Sat. democracy,NA,NA,p =  NA
polintr,Neuroticism,anes1012,0.04641320379273338,0.07851130512893577,under30,ANES 2010-12,Interest,0.04641320379273338,0.5544092902042945,p =  0.55
poleff,Openness,anes1012,-0.02291391504263613,0.08177048984348527,under30,ANES 2010-12,Efficacy,0.02291391504263613,0.7793069559639088,p =  0.78
involvement,Conscientiousness,anes1012,0.011962422369665496,0.0769899130456588,under30,ANES 2010-12,Involvement,0.011962422369665496,0.876524518196949,p =  0.88
polpar,Extraversion,anes1012,-0.18795801366241352,0.08089499817261968,under30,ANES 2010-12,Participation,0.18795801366241352,0.02015331231967741,p =  0.02
media,Agreeableness,anes1012,-0.12276461131024462,0.07712925063041459,under30,ANES 2010-12,Media use,0.12276461131024462,0.11145800694014446,p =  0.11
poltr,Neuroticism,anes1012,NA,NA,under30,ANES 2010-12,Political trust,NA,NA,p =  NA
knowledge,Openness,anes1012,0.11812919554325174,0.08267569707234904,under30,ANES 2010-12,Knowledge,0.11812919554325174,0.15305421591014812,p =  0.15
ideology,Conscientiousness,anes1012,-0.10013985767099234,0.07355320504254521,under30,ANES 2010-12,Left-right ideology,0.10013985767099234,0.17336788887278012,p =  0.17
stfdem,Extraversion,anes1012,NA,NA,under30,ANES 2010-12,Sat. democracy,NA,NA,p =  NA
polintr,Agreeableness,anes1012,-0.01792977316634095,0.07922929689451601,under30,ANES 2010-12,Interest,0.01792977316634095,0.8209662993260476,p =  0.82
poleff,Neuroticism,anes1012,0.0013928287040722727,0.08028613704284503,under30,ANES 2010-12,Efficacy,0.0013928287040722727,0.9861587464794642,p =  0.99
involvement,Openness,anes1012,-0.08832283253978418,0.08307144911858105,under30,ANES 2010-12,Involvement,0.08832283253978418,0.2876843427331853,p =  0.29
polpar,Conscientiousness,anes1012,0.0265978937569692,0.08180161130283246,under30,ANES 2010-12,Participation,0.0265978937569692,0.7450666248062106,p =  0.75
media,Extraversion,anes1012,-0.04238473652309827,0.07497390388307201,under30,ANES 2010-12,Media use,0.04238473652309827,0.5718516904618949,p =  0.57
poltr,Agreeableness,anes1012,NA,NA,under30,ANES 2010-12,Political trust,NA,NA,p =  NA
knowledge,Neuroticism,anes1012,-0.05630695594876401,0.08076451385182595,under30,ANES 2010-12,Knowledge,0.05630695594876401,0.4856936232253012,p =  0.49
ideology,Openness,anes12,0.0685103689468401,0.03862774189080877,under30,ANES 2012,Left-right ideology,0.0685103689468401,0.07612845526070014,p =  0.08
stfdem,Conscientiousness,anes12,-0.0031988185015721375,0.035891604877808396,under30,ANES 2012,Sat. democracy,0.0031988185015721375,0.9289830295120162,p =  0.93
polintr,Extraversion,anes12,-0.05662354967185464,0.035195247980487156,under30,ANES 2012,Interest,0.05662354967185464,0.10765116468289378,p =  0.11
poleff,Agreeableness,anes12,-0.017259211747469284,0.03673035144924899,under30,ANES 2012,Efficacy,0.017259211747469284,0.638433863895529,p =  0.64
involvement,Neuroticism,anes12,0.03672783036142748,0.03559901841953705,under30,ANES 2012,Involvement,0.03672783036142748,0.3022084248930508,p =  0.3
polpar,Openness,anes12,0.07005846422734172,0.05744304843951044,under30,ANES 2012,Participation,0.07005846422734172,0.2226104566055268,p =  0.22
media,Conscientiousness,anes12,-0.07241342121188697,0.03419626771447051,under30,ANES 2012,Media use,0.07241342121188697,0.03421043378228146,p =  0.03
poltr,Extraversion,anes12,0.052534766621343515,0.051718710519183884,under30,ANES 2012,Political trust,0.052534766621343515,0.30973476204774586,p =  0.31
knowledge,Agreeableness,anes12,-0.03261722911215462,0.036169472749208745,under30,ANES 2012,Knowledge,0.03261722911215462,0.3671690163472078,p =  0.37
ideology,Neuroticism,anes12,-0.026435794229700743,0.03783627012764759,under30,ANES 2012,Left-right ideology,0.026435794229700743,0.4847462695453398,p =  0.48
stfdem,Openness,anes12,0.023589168780787418,0.03681357566491288,under30,ANES 2012,Sat. democracy,0.023589168780787418,0.5216697633462579,p =  0.52
polintr,Conscientiousness,anes12,-0.10222396920212311,0.03459063067746222,under30,ANES 2012,Interest,0.10222396920212311,0.003124155494106943,p < 0.01
poleff,Extraversion,anes12,0.05011239152947275,0.03598873038173467,under30,ANES 2012,Efficacy,0.05011239152947275,0.16378714874020528,p =  0.16
involvement,Agreeableness,anes12,-0.04609452854174379,0.03657107146269065,under30,ANES 2012,Involvement,0.04609452854174379,0.2075216502909656,p =  0.21
polpar,Neuroticism,anes12,-0.021191627222718012,0.053589478066287076,under30,ANES 2012,Participation,0.021191627222718012,0.6925153846203012,p =  0.69
media,Openness,anes12,-0.028394912406329745,0.03532303394173923,under30,ANES 2012,Media use,0.028394912406329745,0.42147557127417773,p =  0.42
poltr,Conscientiousness,anes12,0.11308268958987991,0.05159388662383641,under30,ANES 2012,Political trust,0.11308268958987991,0.028395058806369604,p =  0.03
knowledge,Extraversion,anes12,-0.09041429727073648,0.03549044553803581,under30,ANES 2012,Knowledge,0.09041429727073648,0.010847693805880911,p =  0.01
ideology,Agreeableness,anes12,-0.006127338450513294,0.03938038979785381,under30,ANES 2012,Left-right ideology,0.006127338450513294,0.8763533332807403,p =  0.88
stfdem,Neuroticism,anes12,0.01557788958889644,0.0359952098897628,under30,ANES 2012,Sat. democracy,0.01557788958889644,0.6651769730200461,p =  0.67
polintr,Openness,anes12,-0.11975252953117309,0.035402878915021065,under30,ANES 2012,Interest,0.11975252953117309,7.181235225314995e-4,p < 0.01
poleff,Conscientiousness,anes12,-0.010131166139721993,0.03557555090172057,under30,ANES 2012,Efficacy,0.010131166139721993,0.7758135409617316,p =  0.78
involvement,Extraversion,anes12,-0.007073053292426713,0.03575614336630975,under30,ANES 2012,Involvement,0.007073053292426713,0.8431908646649608,p =  0.84
polpar,Agreeableness,anes12,0.025146194394497265,0.057144391977529053,under30,ANES 2012,Participation,0.025146194394497265,0.6599033694245583,p =  0.66
media,Neuroticism,anes12,0.10095045075203643,0.03452614243064013,under30,ANES 2012,Media use,0.10095045075203643,0.003456930527641377,p < 0.01
poltr,Openness,anes12,0.025500223355669066,0.05119635065834029,under30,ANES 2012,Political trust,0.025500223355669066,0.618422906828756,p =  0.62
knowledge,Conscientiousness,anes12,-0.07948633685746871,0.034662182210017996,under30,ANES 2012,Knowledge,0.07948633685746871,0.021838119176868186,p =  0.02
ideology,Extraversion,anes12,0.09080148197469538,0.03755783676992442,under30,ANES 2012,Left-right ideology,0.09080148197469538,0.015621347946949958,p =  0.02
stfdem,Agreeableness,anes12,-0.014940978911306869,0.0368740568084489,under30,ANES 2012,Sat. democracy,0.014940978911306869,0.6853382570004289,p =  0.69
polintr,Neuroticism,anes12,0.13123094984969078,0.0347533468325577,under30,ANES 2012,Interest,0.13123094984969078,1.5932445069863704e-4,p < 0.01
poleff,Openness,anes12,0.049005460762386634,0.036592598628777874,under30,ANES 2012,Efficacy,0.049005460762386634,0.1804997675174489,p =  0.18
involvement,Conscientiousness,anes12,-0.06863414034535817,0.03539355135271914,under30,ANES 2012,Involvement,0.06863414034535817,0.052480547177085404,p =  0.05
polpar,Extraversion,anes12,0.003986306416527842,0.05438454582897712,under30,ANES 2012,Participation,0.003986306416527842,0.9415685738451305,p =  0.94
media,Agreeableness,anes12,-0.12495187623232064,0.03541638809545236,under30,ANES 2012,Media use,0.12495187623232064,4.185844809876582e-4,p < 0.01
poltr,Neuroticism,anes12,0.01148377551350808,0.050951473414858194,under30,ANES 2012,Political trust,0.01148377551350808,0.8216785938299639,p =  0.82
knowledge,Openness,anes12,-0.08566547453361234,0.03591834615737184,under30,ANES 2012,Knowledge,0.08566547453361234,0.01707883835772234,p =  0.02
ideology,Conscientiousness,anes12,0.04796289350033275,0.03810525257294337,under30,ANES 2012,Left-right ideology,0.04796289350033275,0.20814049332132603,p =  0.21
