dataset,age,ipip_O_vivimag,ipip_O_ricvoca,ipip_O_excidea,ipip_O_quiunde,ipip_O_difword,ipip_O_reflthi,ipip_O_fulidea,ipip_O_difunde,ipip_O_intidea,ipip_O_notimag,ipip_C_alwprep,ipip_C_leabelo,ipip_C_attdeta,ipip_C_makmess,ipip_C_chodone,ipip_C_forgbac,ipip_C_likorde,ipip_C_shirdut,ipip_C_folsche,ipip_C_exactwo,ipip_E_lifpart,ipip_E_nottalk,ipip_E_comfaro,ipip_E_inbackg,ipip_E_talkdif,ipip_E_noatten,ipip_E_cenatte,ipip_E_quistra,ipip_E_startco,ipip_E_littsay,ipip_A_littcon,ipip_A_intpeop,ipip_A_peopeas,ipip_A_insupeo,ipip_A_symfeel,ipip_A_feelemo,ipip_A_softhea,ipip_A_nointot,ipip_A_nointpr,ipip_A_taketim,ipip_N_irrieas,ipip_N_seldblu,ipip_N_easdisr,ipip_N_upseasy,ipip_N_streasy,ipip_N_oftblue,ipip_N_relamot,ipip_N_worryth,ipip_N_chamood,ipip_N_moodswi
liss,16,4,3,4,3,3,2,4,4,3,4,2,2,4,4,2,3,1,2,1,2,2,2,3,2,2,3,2,3,2,3,3,4,3,2,3,3,2,3,2,3,2,3,2,3,2,3,2,3,4,3
liss,33,3,4,3,4,3,4,3,3,4,4,4,3,4,4,4,4,5,4,4,3,3,3,4,2,3,2,3,2,3,3,4,4,3,4,4,4,3,4,4,3,3,3,3,3,3,2,3,4,3,2
liss,33,5,5,4,5,5,3,5,5,5,5,3,2,2,3,3,3,2,4,2,4,4,5,5,4,4,4,4,5,4,5,4,4,3,3,3,2,2,4,4,3,2,1,1,1,1,1,2,2,1,1
liss,22,3,3,3,4,2,4,3,4,3,3,3,5,3,4,4,4,4,4,3,4,4,3,4,2,2,2,2,3,3,3,4,3,3,4,4,3,3,3,4,3,2,3,2,3,2,3,3,2,3,2
liss,57,2,4,3,4,3,3,3,4,4,4,3,4,3,4,3,3,4,4,3,4,3,3,4,4,3,3,4,4,3,5,3,3,3,4,3,3,2,3,4,3,4,4,3,4,4,2,2,2,3,2
liss,49,5,5,3,5,3,4,5,5,5,5,4,5,5,4,3,5,4,4,4,4,3,2,3,1,4,1,1,1,1,2,2,4,4,5,5,4,3,4,4,4,3,5,2,3,3,3,3,5,2,2
liss,78,2,4,3,4,3,5,3,2,2,4,3,3,3,5,3,2,3,5,2,2,4,4,5,5,5,3,5,5,5,5,5,5,5,5,5,5,3,4,5,5,1,2,2,2,1,1,2,3,1,2
liss,49,2,4,4,5,2,4,2,4,3,2,4,5,3,5,4,5,5,5,4,4,2,2,3,2,2,1,1,3,4,3,4,4,4,5,4,4,3,4,4,4,4,4,4,1,2,4,2,2,4,4
liss,69,2,4,3,3,3,4,4,4,4,3,4,5,4,5,4,5,5,5,3,3,3,4,5,5,5,2,3,4,4,4,5,4,4,4,5,4,3,5,5,5,3,3,4,3,3,2,3,4,2,2
liss,34,3,2,3,4,3,4,3,4,4,3,4,5,4,4,4,4,4,4,3,4,3,2,4,2,2,3,3,3,4,4,5,4,4,5,4,4,3,4,4,4,2,3,2,2,2,2,2,4,2,2
liss,66,5,4,4,4,2,4,5,5,4,5,2,5,2,4,5,4,4,5,2,4,5,5,5,4,5,3,2,4,5,5,5,5,4,5,4,5,4,2,3,5,4,2,2,1,2,1,2,1,2,2
liss,52,3,4,4,4,3,4,4,4,4,4,3,3,4,4,3,4,4,4,4,4,4,3,3,2,3,3,3,3,3,4,4,4,3,5,3,4,3,4,3,3,2,2,2,2,1,2,2,3,3,2
liss,38,3,3,4,3,2,4,4,3,4,3,3,4,4,4,4,4,4,4,3,4,4,4,4,4,4,3,3,4,3,4,5,4,3,3,4,4,3,4,4,4,2,3,3,2,3,3,3,4,3,3
