outcome,trait,dataset,est,se,mod,Data,name,pval,pval_text,est_abs
ideology,Openness,anes1012,NA,NA,student,ANES 2010-12,Left-right ideology,NA,p =  NA,NA
stfdem,Conscientiousness,anes1012,NA,NA,student,ANES 2010-12,Sat. democracy,NA,p =  NA,NA
polintr,Extraversion,anes1012,NA,NA,student,ANES 2010-12,Interest,NA,p =  NA,NA
poleff,Agreeableness,anes1012,NA,NA,student,ANES 2010-12,Efficacy,NA,p =  NA,NA
involvement,Neuroticism,anes1012,NA,NA,student,ANES 2010-12,Involvement,NA,p =  NA,NA
polpar,Openness,anes1012,NA,NA,student,ANES 2010-12,Participation,NA,p =  NA,NA
media,Conscientiousness,anes1012,NA,NA,student,ANES 2010-12,Media use,NA,p =  NA,NA
poltr,Extraversion,anes1012,NA,NA,student,ANES 2010-12,Political trust,NA,p =  NA,NA
knowledge,Agreeableness,anes1012,NA,NA,student,ANES 2010-12,Knowledge,NA,p =  NA,NA
ideology,Neuroticism,anes1012,NA,NA,student,ANES 2010-12,Left-right ideology,NA,p =  NA,NA
stfdem,Openness,anes1012,NA,NA,student,ANES 2010-12,Sat. democracy,NA,p =  NA,NA
polintr,Conscientiousness,anes1012,NA,NA,student,ANES 2010-12,Interest,NA,p =  NA,NA
poleff,Extraversion,anes1012,NA,NA,student,ANES 2010-12,Efficacy,NA,p =  NA,NA
involvement,Agreeableness,anes1012,NA,NA,student,ANES 2010-12,Involvement,NA,p =  NA,NA
polpar,Neuroticism,anes1012,NA,NA,student,ANES 2010-12,Participation,NA,p =  NA,NA
media,Openness,anes1012,NA,NA,student,ANES 2010-12,Media use,NA,p =  NA,NA
poltr,Conscientiousness,anes1012,NA,NA,student,ANES 2010-12,Political trust,NA,p =  NA,NA
knowledge,Extraversion,anes1012,NA,NA,student,ANES 2010-12,Knowledge,NA,p =  NA,NA
ideology,Agreeableness,anes1012,NA,NA,student,ANES 2010-12,Left-right ideology,NA,p =  NA,NA
stfdem,Neuroticism,anes1012,NA,NA,student,ANES 2010-12,Sat. democracy,NA,p =  NA,NA
polintr,Openness,anes1012,NA,NA,student,ANES 2010-12,Interest,NA,p =  NA,NA
poleff,Conscientiousness,anes1012,NA,NA,student,ANES 2010-12,Efficacy,NA,p =  NA,NA
involvement,Extraversion,anes1012,NA,NA,student,ANES 2010-12,Involvement,NA,p =  NA,NA
polpar,Agreeableness,anes1012,NA,NA,student,ANES 2010-12,Participation,NA,p =  NA,NA
media,Neuroticism,anes1012,NA,NA,student,ANES 2010-12,Media use,NA,p =  NA,NA
poltr,Openness,anes1012,NA,NA,student,ANES 2010-12,Political trust,NA,p =  NA,NA
knowledge,Conscientiousness,anes1012,NA,NA,student,ANES 2010-12,Knowledge,NA,p =  NA,NA
ideology,Extraversion,anes1012,NA,NA,student,ANES 2010-12,Left-right ideology,NA,p =  NA,NA
stfdem,Agreeableness,anes1012,NA,NA,student,ANES 2010-12,Sat. democracy,NA,p =  NA,NA
polintr,Neuroticism,anes1012,NA,NA,student,ANES 2010-12,Interest,NA,p =  NA,NA
poleff,Openness,anes1012,NA,NA,student,ANES 2010-12,Efficacy,NA,p =  NA,NA
involvement,Conscientiousness,anes1012,NA,NA,student,ANES 2010-12,Involvement,NA,p =  NA,NA
polpar,Extraversion,anes1012,NA,NA,student,ANES 2010-12,Participation,NA,p =  NA,NA
media,Agreeableness,anes1012,NA,NA,student,ANES 2010-12,Media use,NA,p =  NA,NA
poltr,Neuroticism,anes1012,NA,NA,student,ANES 2010-12,Political trust,NA,p =  NA,NA
knowledge,Openness,anes1012,NA,NA,student,ANES 2010-12,Knowledge,NA,p =  NA,NA
ideology,Conscientiousness,anes1012,NA,NA,student,ANES 2010-12,Left-right ideology,NA,p =  NA,NA
